judul,tanggal,isi,kategori
Jawaban 'Santuy' Jack Miller Usai Kepala Terbentur-Kaki Terlindas Motor,"Rabu, 06 Nov 2024 11:34 WIB","Jakarta - Jack Miller mengalami momen horor dalam kariernya di MotoGP. Dia terjatuh saat balapan utama MotoGP Malaysia 2024, bukan cuma kepala yang terbentur motor Fabio Quartararo, kaki Jack Miller juga terlindas motor Joan Mir. Duh, ngeri, ya! Jack Miller merasa keberuntungan masih berada di sisinya. Dia bersyukur bisa keluar dari insiden tersebut dengan selamat. ""Beruntung bisa lolos dari yang satu itu,"" kata Jack Miller sembari mengunggah foto kepalanya membentur area belakang motor Fabio Quartararo. Dalam foto yang dibagikan Jack Miller, terlihat helmnya berputar dengan tidak wajar. Kepala Miller kala itu sedang bersandar di ban belakang Quartararo. Juara World Superbike 2003 dan komentator TNT Sports MotoGP, Neil Hodgson, berbicara dengan Miller setelah insiden di MotoGP Malaysia. Usai alami kecelakaan tersebut, Jack Miller menanggapinya dengan santai. ""Ia sedang berjalan di sekitar paddock bersama istrinya, dan saya berkata 'Anda membuat kami semua khawatir', dan ia berkata 'Tidak apa-apa, saya hanya pergi cuma tidur sebentar',"" kata Hodgson. ""Itulah masalahnya, ia jelas mengalami sedikit gegar otak. Namun ia terlihat baik-baik saja, terlihat sangat bahagia."" tambahnya lagi. Hodgson menyoroti tata letak dua tikungan pertama di Sirkuit Sepang, Malaysia. ""Sangat sempit di tikungan kedua, dan cukup sulit untuk melihat dengan jelas apa yang terjadi,"" kata Hodgson. ""Saya tahu (Fabio) Quartararo akhirnya menabrak Jack (Miller), mereka terjatuh, begitu juga Brad Binder."" ""Maksud saya, ini sangat ketat, ini adalah efek domino, tidak ada ruang, para pembalap (lain) terjebak di dalamnya."" ""Dia (Miller) tersedot ke bagian belakang motor Quartararo,"" tambahnya lagi. Eks pebalap yang menjadi pundit di TNT Sports, Michael Laverty, menambahkan tikungan Sirkuit Sepang itu menjadi satu titik banyak motor yang bertemu. ""Begitu banyak motor di satu tempat dalam satu waktu, dan apa pun bisa terjadi,"" kata dia. ""Tapi para dewa balap melihat. Saya sangat senang Jack (Miller) baik-baik saja, bisa saja kejadiannya jauh lebih buruk. Semoga ia bisa kembali dalam dua pekan, dan menjalani balapan terakhirnya untuk KTM,"" jelas dia lagi. (riar/rgr)",Otomotif
"Spesifikasi Honda PCX 2025: Tampang Lebih Ganteng, Konsumsi BBM 47,6 Km/Liter","Rabu, 06 Nov 2024 11:06 WIB","Jakarta - Honda PCX 125 2025 resmi meluncur di Eropa. Model terbaru Honda PCX mendapatkan ubahan pada bagian desain, khususnya area fascia, setang, juga bagian buritan. Tidak hanya itu, motor matic bongsor ini juga mendapatkan fitur kekinian berupa konektivitas smartphone. Berikut spesifikasi lengkapnya. New Honda PCX 125 2025 Foto: Dok. Honda Desain dan Dimensi New Honda PCX 125 2025 kini memiliki tampang lebih agresif dengan model dual headlamp. Selain itu bagian fairing dibuat lebih lebar dan agresif dengan tambahan lekukan-lekukan. Sama seperti generasi sebelumnya, generasi PCX 125 terbaru juga memiliki fitur lampu DRL LED. Geser ke bagian belakang, ada sedikit perubahan desain pada lampu rem dan lampu seinnya. Kini lampu remnya berbetuk huruf 'V' berubah dari sebelumnya yang bentuknya mirip huruf 'X'. Sementara itu lampu seinnya menjorok ke bawah, jadi seperti taring. Setang New Honda PCX 125 2025 kini pakai cover. Foto: Dok. Honda Nah, yang menarik, area setang yang biasanya telanjang mirip setang motor sport, kini menggunakan cover seperti Honda Forza. Ini tentunya menghilangkan identitas Honda PCX yang sebelumnya selalu menggunakan setang model telanjang. Cover setang PCX 125 2025 ini menggunakan paduan warna hitam dan silver. Secara dimensi, motor ini memiliki panjang 1.935 mm, lebar 740 mm, tinggi 1.125 mm, tinggi jok 763 mm, jarak sumbu roda 1.315 mm, dan ground clearance 135 mm. Lalu untuk bobotnya, versi standar 133 kg dan versi DX 134 kg. Desain lampu belakang New Honda PCX 125 2025. Foto: Dok. Honda Mesin dan Konsumsi BBM Honda PCX 125 terbaru menggendong mesin 125 cc, SOHC, 4 katup, eSP+, yang bisa menghasilkan tenaga 12,3 dk pada 8.750 rpm dan torsi 11,7 Nm pada 6.500 rpm. Soal konsumsi bahan bakar, Honda PCX ini bisa mencatatkan konsumsi rata-rata 47,6 km/liter. Tangki BBM yang berkapasitas 8,1 liter bisa buat menempuh jarak hingga 385 km. Suspensi dan Kaki-kaki Motor ini menggunakan suspensi depan teleskopik 31 mm dengan travel 89 mm. Sementara suspensi belakangnya pakai model ganda dengan travel 95 mm. Rem depan pakai cakram kaliper 2 piston dengan disc ukuran 220 mm. Sementara rem belakang pakai kaliper 1 piston dengan disc 220 mm. Geser ke bagian rodanya, bagian depan pakai velg ukuran 14 inci yang dipadu ban profil 110/70, selanjutnya ban belakang pakai velg ukuran 13 inci dengan profil ban 130/70. Panel instrumen layar TFT pada New Honda PCX 125 2025 tipe DX. Foto: Dok. Honda Fitur-fitur Honda PCX 125 2025 sudah dilengkapi lampu-lampu berteknologi LED. Selain itu juga sudah dibekali charger dengan tipe colokan USB-C. Untuk panel instrumennya, pada tipe standar menggunakan layar LCD, sementara buat tipe DX sudah menggunakan layar TFT full warna. Pada varian DX ini juga sudah memiliki fitur konektivitas Honda RoadSync. Pilihan Warna New Honda PCX 125 2025 ditawarkan dalam empat pilihan warna, yakni pearl dark ash blue, pearl snowflake white, matte dim grey metallic, dan matte galaxy black metallic. Untuk harganya, situs resmi Honda Eropa belum mencatumkan harga New Honda PCX 125 model 2025. Lampu depan New Honda PCX 125 2025. Foto: Dok. Honda (lua/rgr)",Otomotif
"Ini Sebabnya Meski Pakai Mobil Antipeluru, Ada Motor di Sisi Kiri-Kanan Konvoi Jokowi","Rabu, 06 Nov 2024 10:37 WIB","Jakarta - Mobil antipeluru digunakan Presiden ke-7 Joko Widodo saat berdinas. Meski pakai mobil antipeluru, di sisi kiri dan kanan tetap ada Patwal yang menggunakan motor. Selama menjabat, Presiden ke-7 Joko Widodo menggunakan Mercedes-Benz S 600 Guard sebagai kendaraan dinasnya. Mobil tersebut dipilih lantaran menawarkan fitur keamanan jempolan untuk melindungi penumpang di dalamnya. Mercedes-Benz S 600 Guard ini merupakan mobil antipeluru. Mobil S 600 Guard bisa melindungi penumpangnya yang duduk di jok belakang dari serangan senjata mesin M60. Mobil berlapis antipeluru rupanya tak cukup memberikan pengawalan optimal saat iring-iringan Presiden ke-7 Joko Widodo melintas. Pasalnya, Jokowi kerap membuka jendela mobil untuk menyapa masyarakat saat melakukan kunjungan kerja. Padahal jendela itulah yang dapat melindunginya dari serangan peluru. Alhasil keamanan pun dipertaruhkan. Untuk itu, Pasukan Pengaman Presiden (Paspampres) memutar otak supaya Jokowi tetap bisa menyapa masyarakat dengan membuka jendela namun keamanan tetap terjaga. Mantan Komandan Paspampres 2022-2023 Marsma TNI Wahu Hidayat Sudjatmiko mengungkap, ada dua motor pengawal yang mengiringi perjalanan RI 1 di sisi kiri dan kanan mobil. ""Itu salah satu untuk mengurangi kerawaranan jadi Bapak masih bisa dibayangi. Itu salah satu trik-trik teknik pengamanan dinamis sesuai dengan keinginan objek,"" terang Wahyu dalam tayangan Youtube CNN Indonesia bertajuk 'Kisah dari Orang-orang di Balik Layar Kegiatan Presiden Joko Widodo'. Rombongan presiden memang mendapat pengawalan ketat di mana pun. Tak terkecuali saat melintas di jalan, Paspampres memberi pengawalan dengan ketat. Mengutip laman PPID TNI, secara umum terdapat tiga lapis penjagaan dalam sebuah operasi pengamanan, dan Paspampres bertanggung jawab penuh terhadap pengamanan terdalam (Ring 1) atau yang berada paling dekat dengan VVIP. Lapis penjagaan selanjutnya, sebut saja Ring 2 dan Ring 3, dilakukan oleh unsur Polri dan TNI yang berwenang. Bisa dilihat dalam rombongan konvoi, pengawalan itu ada di sisi depan, belakang, dan juga kiri kanan. Meski sudah dibayangi motor, pengawalan tersebut belum aman sepenuhnya. Sebagai pengingat, sempat viral ada wanita yang menerobos konvoi RI 1 itu untuk bersalaman dengan Jokowi. ""Memang ini tantangan buat kami sendiri, karena saya sering diingatkan beliau saya nggak mau Paspampres kasar, keras sama masyarakat,"" tegas Wahyu. (dry/rgr)",Otomotif
"Ada Kembaran G-Class Buatan China, Mercedes-Benz Bilang Begini","Rabu, 06 Nov 2024 10:09 WIB","Jakarta - BAIC mengenalkan kembaran Mercedes-Benz G-Class di Indonesia. Begini tanggapan Mercy terkait mobil kembaran G-Class asal China itu. Produsen asal China, Beijing Auto Industrial Corporation (BAIC), belum lama ini mengenalkan mobil terbarunya di Indonesia. Mobil itu berjenis SUV kekar yang merupakan model termahal di keluarga BAIC, BJ80. Menariknya, BJ80 ini memiliki tampilan yang sangat identik dengan Mercedes-Benz G-Class. Lantas apa kata Mercedes-Benz melihat ada rival yang punya tampang identik dengan G-Class itu? BAIC BJ80 Foto: Luthfi Anshori/detikOto Mercedes-Benz AG luncurkan G Class generasi terbaru. Foto: Mercedes-Benz AG Mercedes-Benz tampaknya tak terlalu pusing dengan calon rivalnya itu. Diungkap Sales and Marketing Director PT Inchape Indomobil Distribution Indonesia Kariyanto Hardjosoemarto, setiap merek memang memiliki kebebasan dalam mendesain kendaraannya. Tapi identitas dari sebuah merek tentu tidak akan bisa tergantikan. ""Merupakan suatu hal yang baik kalau konsumen jadi lebih banyak pilihan di pasar, akan tetapi setiap segmen tentu memiliki konsumennya masing-masing dan kami tetap yakin dengan brand loyalty dari konsumen kami,"" kata Kerry kepada detikOto dihubungi belum lama ini. Walaupun ada kembaran G-Class, diharapkan para pencinta G-Class itu tetap setia terhadap SUV Jerman tersebut. Untuk diketahui, kemiripan desain bukan karena BAIC meniru, melainkan karena BAIC dan Mercedes-Benz berada di satu grup serta berbagi tim riset. ""Nah kita melihat bahwa ada kemiripan ataupun bentuk yang terinspirasi dari Mercedes-Benz G-Class dan tentu seperti kita ketahui bahwa BAIC ini adalah single entity terbesar pemegang saham di Daimler atau di Mercedes-Benz. Begitu juga Mercedes-Benz memiliki saham di BAIC,"" ujar COO BAIC Indonesia Dhani Yahya di kesempatan terpisah. ""Sehingga RnD atau research and development BJ80 dan secara umum Off-road Vehicle Division ini memang sudah ada, bukan campur tangan lagi, tapi memang karena satu perusahaan dalam artian grupnya yaitu dengan insinyur dari Jerman, dari Stuttgart, maupun dari tempat yang lain,"" lanjutnya. Untuk urusan spesifikasinya, BAIC Indonesia sudah memastikan bahwa BJ80 yang nantinya dipasarkan adalah yang menggunakan mesin bensin V6 dengan twin turbo 3.000 cc. Mesin ini diklaim bertenaga 241 HP dan torsi 420 Nm serta diklaim akan dikawinkan dengan transmisi ZF 8AT. Lantas untuk sistem penggeraknya, BAIC menjelaskan bahwa BJ80 akan menggunakan sistem perpindahan penggerak empat-roda yang elektrik. (dry/rgr)",Otomotif
"New Honda PCX 2025 Meluncur: Speedometer Baru, Setang Pakai Cover","Rabu, 06 Nov 2024 09:29 WIB","Jakarta - New Honda PCX model 2025 resmi meluncur di Eropa. Tapi bukan varian mesin 160 cc, melainkan PCX varian mesin 125 cc yang diperbarui. Di Eropa, New Honda PCX 125 MY (model year) 2025 memiliki sedikit ubahan di bagian fascia, serta penggunaan speedometer baru, termasuk model setang yang kini pakai cover seperti Honda Forza. Seperti dilihat detikOto di laman Motorcycle News, New Honda PCX 125 2025 kini memiliki tampang lebih agresif dengan model dual headlamp. Selain itu bagian fairing dibuat lebih lebar dan agresif dengan tambahan lekukan-lekukan. Sama seperti generasi sebelumnya, generasi PCX 125 terbaru juga memiliki fitur lampu DRL LED. New Honda PCX 125 2025 Foto: Dok. Honda Geser ke bagian belakang, ada sedikit perubahan desain pada lampu rem dan lampu seinnya. Kini lampu remnya berbetuk huruf 'V', berubah dari sebelumnya yang bentuknya mirip huruf 'X'. Sementara itu lampu seinnya menjorok ke bawah, jadi seperti taring. Nah, yang menarik, area setang yang biasanya telanjang mirip setang motor sport, kini menggunakan cover seperti Honda Forza. Ini tentunya menghilangkan identitas Honda PCX yang sebelumnya selalu menggunakan setang model telanjang. Cover setang PCX 125 2025 ini menggunakan paduan warna hitam dan silver. New Honda PCX 125 2025 juga ditawarkan dalam varian DX. Varian DX ini memiliki panel instrumen atau speedometer baru. Menggunakan layar TFT ukuran 5 inci, panel layar ini bisa menjalankan fungsi konektivitas smartphone Honda RoadSync. New Honda PCX 125 2025 Foto: Dok. Honda Soal jantung pacu, New Honda PCX 125 2025 menggendong mesin 125 cc, eSP+, yang bisa menghasilkan tenaga 12,3 dk dan torsi 11,7 Nm. Soal konsumsi bahan bakar, bisa mencatatkan konsumsi rata-rata 47,6 km/liter. New Honda PCX 125 juga dilengkapi beberapa fitur penting lainnya, seperti Idling Stop System (ISS) dan juga Honda Selectable Torque Control (HSTC), untuk mencegah roda belakang tergelincir saat kehilangan traksi. Pertanyaannya, apakah model baru Honda PCX 160 di Indonesia juga akan memiliki desain dan fitur yang sama dengan New Honda PCX 125 di Eropa? New Honda PCX 125 2025 Foto: Dok. Honda (lua/dry)",Otomotif
Perbandingan Pajak Progresif Kendaraan di Jakarta yang Baru dan Sebelumnya,"Rabu, 06 Nov 2024 09:05 WIB","Jakarta - Pemerintah Provinsi DKI Jakarta akan segera memberlakukan skema baru pajak kendaraan bermotor (PKB). Tarif baru pajak progresif kendaraan di Jakarta akan berlaku mulai Januari 2025. Hal itu berdasarkan Peraturan Daerah No. 1 Tahun 2024 tentang Pajak Daerah dan Retribusi Daerah. Berdasarkan peraturan baru ini, tarif pajak progresif disederhanakan menjadi hanya lima tingkatan tarif. Namun, pajak progresif kendaraan kedua sampai kelima mengalami kenaikan dibanding pajak progresif sebelumnya. Perlu diketahui, pada Perda 8/2010 dan Perda 2/2015, tarif progresif pajak kendaraan bermotor di Jakarta memiliki 17 tingkatan tarif mulai dari 2% untuk kendaraan bermotor pertama hingga 10% untuk kendaraan bermotor ke-17. Kini, tarif pajak progresif disederhanakan menjadi lima tingkatan. Berikut rincian tarif PKB kepemilikan dan/atau penguasaan oleh orang pribadi: 2% (dua persen) untuk kepemilikan dan/atau penguasaan Kendaraan Bermotor pertama; 3% (tiga persen) untuk kepemilikan dan/atau penguasaan Kendaraan Bermotor kedua; 4% (empat persen) untuk kepemilikan dan/atau penguasaan Kendaraan Bermotor ketiga; 5% (lima persen) untuk kepemilikan dan/atau penguasaan Kendaraan Bermotor keempat; dan 6% (enam persen) untuk kepemilikan dan/atau penguasaan Kendaraan Bermotor kelima dan seterusnya. Kepemilikan Kendaraan Bermotor didasarkan atas nama, nomor induk kependudukan, dan/atau alamat yang sama. Sementara itu, tarif PKB atas kepemilikan dan/atau penguasaan Kendaraan Bermotor yang digunakan untuk angkutan umum, angkutan karyawan, angkutan sekolah, ambulans, pemadam kebakaran, sosial keagamaan, lembaga sosial dan keagamaan, Pemerintah, dan Pemerintah Provinsi DKI Jakarta ditetapkan sebesar 0,5 persen. Lalu untuk tarif PKB atas kepemilikan dan/atau penguasaan oleh Badan ditetapkan sebesar 2% dan tidak dikenakan pajak progresif. Sebagai perbandingan, saat ini masih berlaku skema pajak progresif sesuai Peraturan Daerah Provinsi DKI Jakarta Nomor 2 tahun 2015. Sebelum berlaku pajak progresif baru pada 5 Januari 2025, berikut tarif pajak progresif untuk wilayah DKI Jakarta sebelumnya: Kendaraan pertama pajak 2% Kendaraan kedua pajak 2,5% Kendaraan ketiga pajak 3% Kendaraan keempat pajak 3,5% Kendaraan kelima pajak 4% Kendaraan keenam pajak 4,5% Kendaraan ketujuh pajak 5% Kendaraan kedelapan pajak 5,5% Kendaraan kesembilan pajak 6% Kendaraan kesepuluh pajak 6,5% Kendaraan kesebelas pajak 7% Kendaraan keduabelas pajak 7,5% Kendaraan ketiga belas pajak 8% Kendaraan keempat belas pajak 8,5% Kendaraan kelima belas pajak 9% Kendaraan keenam belas pajak 9,5% Kendaraan ketujuh belas dan seterusnya pajak 10%. (rgr/dry)",Otomotif
"Spesifikasi Honda Scoopy Baru: Tampang Berubah, Konsumsi BBM 59 Km/L","Rabu, 06 Nov 2024 08:35 WIB","Jakarta - Honda Scoopy baru telah meluncur di Indonesia, Selasa (5/11). Skuter matik bertampang retro tersebut mengalami banyak perubahan dibandingkan model sebelumnya. Honda Scoopy baru yang meluncur kemarin merupakan model generasi keenam. Kendaraan itu mengusung konsep 'Totally Unique' lantaran tampangnya yang benar-benar berubah. ""Perubahan tampilan dari New Honda Scoopy serta fitur terbaik yang dapat meningkatkan kenyamanan berkendara diharapkan dapat semakin menunjang gaya hidup penggunanya,"" ujar Susumu Mitsuishi selaku Presiden Direktur PT Astra Honda Motor (AHM) saat peluncuran produk. Honda Scoopy baru tersedia dalam empat varian berbeda, yakni Fashion dan Energetic yang dijual seharga Rp 22,5 jutaan, serta Stylish dan Prestige yang dibanderol Rp 23,3 jutaan. Seluruhnya berstatus on the road Jakarta. View this post on Instagram A post shared by detikOto (@detikoto) Nah, biar kenal Honda Scoopy baru lebih dekat, berikut kami rangkum spesifikasi lengkapnya! Spesifikasi Honda Scoopy Baru Tampang Honda Scoopy baru. Foto: Septian Farhan Nurhuda / detikOto Secara garis besar, desain Honda Scoopy baru masih membawa tarikan model lama, yakni berdimensi kompak dengan aksen membulat di hampir semua bagian. Hanya saja, produsen melakukan perubahan di sejumlah sisi, utamanya di area muka dan ekor. Kendaraan tersebut kini menggunakan headlamp atau lampu utama dengan desain cristal block. Selain itu, sepasang seinnya punya tampilan anyar dengan posisi yang agak ke bawah. Bagian setang Honda Scoopy baru kini tak lagi telanjang, melainkan dipasangkan cover atau pelindung tambahan. Kemudian ada aksen lubang udara baru di bagian wajah kendaraan. Bukan hanya depan, bagian belakangnya juga berubah. Pabrikan membekalinya dengan lampu ekor baru dengan garis pembelah di area sentral. Sementara sepasang seinnya dibuat lebih lebar dan pelek rodanya mengadopsi palang lima. Fitur Honda Scoopy baru. Foto: Septian Farhan Nurhuda / detikOto Honda Scoopy baru kini menggunakan panel instrumen full digital yang memadukan kesan retro dan modern. Seluruh informasi di dalamnya dibuat sederhana dan mudah dipahami. Skutik yang kerap dipakai anak muda itu juga menggunakan smart keyless dengan alarm dan anti-thief, kemudian ada soket charger ponsel dengan model tipe-C, ruang penyimpanan dasbor dengan volume empat liter, bagasi lega dan masih banyak lagi. Mesin Honda Scoopy baru. Foto: Septian Farhan Nurhuda / detikOto Honda Scoopy baru membawa mesin eSP 110cc SOHC dengan teknologi PGM-FI. Pembekalan itu membuat motor mampu menghasilkan tenaga maksimum 6,6 kW dan torsi puncak 9,2 Nm. Mesin itu sudah memenuhi standar Euro 3. Sementara konsumsi bahan bakarnya diklaim mencapai 59 km/liter. Honda Scoopy baru punya tangki bensin berkapasitas 4,2 liter. Sehingga, dalam kondisi full tank, skutik tersebut bisa menempuh jarak 247 km! (sfn/din)",Otomotif
Prabowo Kejar Ford-Volkswagen untuk Investasi di Indonesia,"Rabu, 06 Nov 2024 08:06 WIB","Jakarta - Presiden Prabowo Subianto disebut bakal mengejar Ford dan Volkswagen untuk berinvestasi di Indonesia saat melakukan kunjungan luar negeri. Presiden Prabowo Subianto dijadwalkan melakukan lawatan ke luar negeri selama 15 hari. Prabowo rencananya akan berkunjung ke beberapa negara, mulai dari China, AS, hingga London. Dalam kesempatan tersebut, Prabowo disebut akan mengejar investasi Ford Motor Company sekaligus Volkswagen untuk berinvestasi di Indonesia terkait dengan ekosistem baterai kendaraan listrik. ""Dengan rencana kunjungan Pak Presiden, kemarin kita sudah masukan ke Pak Menteri Luar Negeri juga, untuk mulai mendorong investasi Ford Motor Company di Indonesia. Kita ingin menjadi sebuah supply chain ekosistem EV battery dunia, dan juga Volkswagen,"" kata Menteri BUMN Erick Thohir dikutip detikFinance. Dalam materi yang Erick paparkan pada rapat dengan Komisi VI DPR, PT Vale Indonesia Tbk telah menjalin kerja sama dengan Ford Motor dan Volkswagen untuk berinvestasi sebesar US$ 6,5 miliar dalam mendukung hilirisasi nikel di Sulawesi Tenggara dan Sulawesi Tengah. Sebelumnya diketahui, Volkswagen memang telah berinvestasi di Indonesia lewat kolaborasinya dengan Vale. VW melakukan downstreaming dari nikel kemudian proyek kedua mereka akan sampai membangun prekursor dari baterai. Memang, rencana tersebut belum bisa dipaparkan secara lebih detail. Namun yang pasti, Kemenperin siap memfasilitasi rencana ini agar bisa tereksekusi dengan lancar. Terlebih di kawasan industri Batang, Jawa Tengah, terdapat kawasan khusus bagi industri yang berasal dari Jerman. ""Nah proyek ketiga, kita sudah dapat komitmen dalam waktu dekat akan memulai membuka fasilitas EV (electric vehicle/kendaraan listrik) di Indonesia,"" ungkap Menteri Perindustrian Agus Gumiwang Kartasasmita pada April 2024. Adapun saat ini investasi ekosistem kendaraan listrik yang akan berjalan antara CATL dan MIND ID. Tahun 2026 akan ada produk baterai yang dihasilkan. (dry/din)",Otomotif
Resmi! Seri Terakhir MotoGP 2024 Digelar di Barcelona,"Rabu, 06 Nov 2024 07:40 WIB","Jakarta - Seri terakhir MotoGP 2024 resmi diselenggarakan di Sirkuit Catalunya, Barcelona, pada 15-17 November mendatang. Sirkuit Catalunya menggantikan Sirkuit Ricardo Tormo, Valencia, yang batal menggelar MotoGP 2024 lantaran mengalami banjir besar. ""Seri ini sebelumnya dijadwalkan berlangsung di Valencia sebelum banjir dahsyat berdampak sangat parah di wilayah tersebut. Karena ini adalah Grand Prix terakhir musim 2024, kami berutang kepada para penggemar, paddock, olahraga, dan komunitas di Valencia untuk menyelenggarakan acara ini,"" tulis Dorna Sports dikutip Selasa (5/11). Sirkuit Catalunya di Barcelona Foto: Alex Caparros/Getty Images Secara letak geografis, Barcelona dan Valencia sama-sama terletak di pesisir timur Spanyol. Kedua kota ini dipisahkan jarak 349 km dengan waktu tempuh perjalanan 3 jam 44 menit, menggunakan jalur darat. ""MotoGP mengajukan permintaan kepada pihak berwenang untuk menggelar balapan di Barcelona karena ini merupakan pilihan terbaik. Lintasan tersebut merupakan pilihan termudah bagi para penggemar yang sudah berencana untuk menghadiri final MotoGP 2024. Lokasi dan sirkuit ini juga merupakan pilihan yang paling efisien, menyediakan alternatif yang lancar untuk mobilisasi personel dan logistik,"" tambah Dorna Sports. ""Acara ini akan diselenggarakan oleh MotoGP dan kami tetap berkomitmen pada misi kami buat memberikan dampak positif bagi masyarakat, tempat, dan di mana pun kami menggelar perlombaan,"" tulis Dorna Sports lagi. Dengan demikian, maka Sirkuit Catalunya menggelar balap MotoGP sebanyak dua kali pada musim ini. Sebelumnya Sirkuit Catalunya sudah menggelar balap kasta tertinggi pada bulan Mei 2024 lalu, di mana Francesco Bagnaia jadi pemenangnya, diikuti Jorge Martin, dan Marc Marquez. (lua/din)",Otomotif
Siap-siap! Aturan Baru Pajak Progresif di Jakarta Berlaku 2 Bulan Lagi,"Rabu, 06 Nov 2024 07:16 WIB","Jakarta - Pemerintah Provinsi DKI Jakarta dalam waktu dekat ini akan menerapkan skema baru untuk pajak kendaraan bermotor (PKB). Ketentuan baru ini mengatur soal pajak progresif jika seseorang memiliki lebih dari satu kendaraan bermotor dengan jenis yang sama. Dalam aturan ini, pajak kendaraan bermotor (PKB) kepemilikan kedua dan hingga kelima naik dari pajak progresif sebelumnya. Sedangkan kendaraan kelima dan seterusnya hanya sebesar 6 persen. Ketentuan itu tertuang dalam Peraturan Daerah (Perda) No. 1 Tahun 2024 tentang Pajak Daerah dan Retribusi Daerah. Berikut rincian tarif PKB baru kepemilikan dan/atau penguasaan oleh orang pribadi: 2% (dua persen) untuk kepemilikan dan/atau penguasaan Kendaraan Bermotor pertama; 3% (tiga persen) untuk kepemilikan dan/atau penguasaan Kendaraan Bermotor kedua; 4% (empat persen) untuk kepemilikan dan/atau penguasaan Kendaraan Bermotor ketiga; 5% (lima persen) untuk kepemilikan dan/atau penguasaan Kendaraan Bermotor keempat; dan 6% (enam persen) untuk kepemilikan dan/atau penguasaan Kendaraan Bermotor kelima dan seterusnya. Kepemilikan Kendaraan Bermotor didasarkan atas nama, nomor induk kependudukan, dan/atau alamat yang sama. Kapan berlakunya tarif pajak progresif baru ini? Berdasarkan Perda No. 1 Tahun 2024 tersebut, ketentuan baru pajak progresif kendaraan ini mulai berlaku pada 5 Januari 2025. Artinya, dalam dua bulan ke depan aturan baru pajak progresif ini akan berlaku. Tarif pajak progresif kendaraan di Jakarta tersebut disederhanakan daripada peraturan sebelumnya. Sebagai pembanding, berikut tarif pajak progresif untuk wilayah DKI Jakarta sebelumnya, berdasarkan Peraturan Daerah Provinsi DKI Jakarta Nomor 2 tahun 2015: Kendaraan pertama pajak 2% Kendaraan kedua pajak 2,5% Kendaraan ketiga pajak 3% Kendaraan keempat pajak 3,5% Kendaraan kelima pajak 4% Kendaraan keenam pajak 4,5% Kendaraan ketujuh pajak 5% Kendaraan kedelapan pajak 5,5% Kendaraan kesembilan pajak 6% Kendaraan kesepuluh pajak 6,5% Kendaraan kesebelas pajak 7% Kendaraan keduabelas pajak 7,5% Kendaraan ketiga belas pajak 8% Kendaraan keempat belas pajak 8,5% Kendaraan kelima belas pajak 9% Kendaraan keenam belas pajak 9,5% Kendaraan ketujuh belas dan seterusnya pajak 10%. Sementara itu, kendaraan yang dimiliki dan/atau dikuasai oleh badan usaha tidak dikenakan pajak progresif. Pajak kendaraan milik badan usaha ditetapkan sebesar 2 persen. ""Hal ini dimaksudkan sebagai dukungan Pemerintah Provinsi DKI Jakarta kepada pelaku usaha,"" demikian dikutip dari Penjelasan Perda No. 1 Tahun 2024. Selain itu, tarif PKB atas kepemilikan dan/atau penguasaan Kendaraan Bermotor yang digunakan untuk angkutan umum, angkutan karyawan, angkutan sekolah, ambulans, pemadam kebakaran, sosial keagamaan, lembaga sosial dan keagamaan, Pemerintah, dan Pemerintah Provinsi DKI Jakarta ditetapkan sebesar 0,5 persen. (rgr/din)",Otomotif
